id,date.entered,week,rating
0,2000-02-26,wk1,87.0
0,2000-02-26,wk2,82.0
0,2000-02-26,wk3,72.0
0,2000-02-26,wk4,77.0
0,2000-02-26,wk5,87.0
0,2000-02-26,wk6,94.0
0,2000-02-26,wk7,99.0
1,2000-09-02,wk1,91.0
1,2000-09-02,wk2,87.0
1,2000-09-02,wk3,92.0
2,2000-04-08,wk1,81.0
2,2000-04-08,wk2,70.0
2,2000-04-08,wk3,68.0
2,2000-04-08,wk4,67.0
2,2000-04-08,wk5,66.0
2,2000-04-08,wk6,57.0
2,2000-04-08,wk7,54.0
2,2000-04-08,wk8,53.0
2,2000-04-08,wk9,51.0
2,2000-04-08,wk10,51.0
2,2000-04-08,wk11,51.0
2,2000-04-08,wk12,51.0
2,2000-04-08,wk13,47.0
2,2000-04-08,wk14,44.0
2,2000-04-08,wk15,38.0
2,2000-04-08,wk16,28.0
2,2000-04-08,wk17,22.0
2,2000-04-08,wk18,18.0
2,2000-04-08,wk19,18.0
2,2000-04-08,wk20,14.0
2,2000-04-08,wk21,12.0
2,2000-04-08,wk22,7.0
2,2000-04-08,wk23,6.0
2,2000-04-08,wk24,6.0
2,2000-04-08,wk25,6.0
2,2000-04-08,wk26,5.0
2,2000-04-08,wk27,5.0
2,2000-04-08,wk28,4.0
2,2000-04-08,wk29,4.0
2,2000-04-08,wk30,4.0
2,2000-04-08,wk31,4.0
2,2000-04-08,wk32,3.0
2,2000-04-08,wk33,3.0
2,2000-04-08,wk34,3.0
2,2000-04-08,wk35,4.0
2,2000-04-08,wk36,5.0
2,2000-04-08,wk37,5.0
2,2000-04-08,wk38,9.0
2,2000-04-08,wk39,9.0
2,2000-04-08,wk40,15.0
2,2000-04-08,wk41,14.0
2,2000-04-08,wk42,13.0
2,2000-04-08,wk43,14.0
2,2000-04-08,wk44,16.0
2,2000-04-08,wk45,17.0
2,2000-04-08,wk46,21.0
2,2000-04-08,wk47,22.0
2,2000-04-08,wk48,24.0
2,2000-04-08,wk49,28.0
2,2000-04-08,wk50,33.0
2,2000-04-08,wk51,42.0
2,2000-04-08,wk52,42.0
2,2000-04-08,wk53,49.0
3,2000-10-21,wk1,76.0
